NoStrat,KEY,dataset,fire_year,sample_year,sample_gap_yr,FIRE,plotname,PLOT,ValueFrom,RdNBR,RdNBR_BL,dNBR,dNBR_BL,dNBR_Offset,dNBR_Offset_BL,RBR,RBR_BL,preNBR,lon,lat,elev,slope,aspect,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEV,FIRESEVCODE,FIRESEVNUM,CHARHT,CHARHT_percMax,BOLESCORCH,LITTDUFFMM,SOILCHARMM,CHARCOV,LiveVegCov,Firemort.BA.p,Firemort.trees.p,over1,over2,FieldClass,FieldClass2,under1,under2,ba_ha,stems_ha,RedGrayGreenStage.BA.p,OutbreakStage
All,235,BJH,2008,2010,2,newfork,56,235,Extraction,797,810,544,549,533,538,354,108,0.44737,-109.931,43.0896,2590,10,130,0.762751,21.1,14.62,16.19,sevsurf,c,2,5.9,0.28,0.98,17.9,11.4,0.07,0.1,1,1,PICO,,3,3,,,39.58,1924,0.11,greenattack
All,236,BJH,2008,2010,2,newfork,57,236,Extraction,1224,1225,834,826,823,815,552,297,0.45238,-109.933,43.0896,2611,16,125,0.748224,21.4,14.56,16.92,crown,d,3,20.2,0.94,1,2.4,13.5,0.87,0.02,1,1,PICO,,3,3,,,30.53,1358,0.35,greenattack
All,237,BJH,2008,2010,2,newfork,58,237,Extraction,1004,1001,677,678,666,667,448,283,0.44,-109.928,43.0896,2610,16,260,0.924556,25.8,16.31,20.26,crown,d,3,19.3,0.75,0.99,3.2,13.6,0.55,0.23,1,1,PICO,PIAL,3,3,,,30.09,934,0.44,greenattack
All,238,BJH,2008,2010,2,newfork,59,238,Extraction,1224,1207,877,865,866,854,563,208,0.5,-109.929,43.0906,2595,8,202,0.832291,21,15.7,15.9,crown,d,3,19.4,0.92,1,0.7,9.6,0.72,0.06,1,1,PICO,,3,3,,,34.8,1754,0.02,greenattack
All,239,BJH,2008,2010,2,newfork,60,239,Extraction,1086,1141,677,756,666,745,469,393,0.37662,-109.929,43.0924,2605,25,334,0.674307,20.6,14.97,16.93,crown,d,3,19.6,0.95,1,2.4,3,0.7,0.16,1,1,PICO,,3,3,,,30.56,1358,0.24,greenattack
All,240,BJH,2008,2010,2,newfork,61,240,Extraction,1072,1071,793,773,782,762,497,550,0.53247,-109.926,43.0895,2631,9,88,0.666054,21.1,15.32,16.92,sevsurf,c,2,12.9,0.61,0.99,15.5,10.7,0.14,0.08,1,1,PICO,,3,3,,,36.58,1627,0.09,greenattack
All,241,BJH,2008,2010,2,newfork,63,241,Extraction,696,697,465,467,454,456,304,558,0.42529,-109.942,43.0835,2531,5,175,0.791647,21.8,14.76,14.98,sevsurf,c,2,10,0.46,0.99,8.9,15.5,0.4,0.11,1,1,PICO,,3,3,,,30.89,1754,0.07,greenattack
All,242,BJH,2008,2010,2,newfork,64,242,Extraction,1125,1094,745,740,734,729,500,523,0.42529,-109.941,43.0843,2537,4,271,0.781314,23.8,11.54,11.54,crown,d,3,20.5,0.86,1,6.1,14.2,0.72,0.08,1,1,PICO,,3,3,,,23.23,2221,0,greenattack
All,243,BJH,2008,2010,2,newfork,65,243,Extraction,945,957,706,697,695,686,438,574,0.54054,-109.942,43.0845,2536,2,114,0.73229,19.9,13.23,13.16,sevsurf,c,2,10,0.5,0.97,5.6,11.9,0.44,0.01,1,1,PICO,,3,3,,,30.98,2278,0,greenattack
All,244,BJH,2008,2010,2,newfork,66,244,Extraction,990,930,661,612,650,601,440,417,0.43182,-109.939,43.0835,2554,6,256,0.808861,22.5,12.23,12.36,sevsurf,c,2,9,0.4,0.99,13,13.9,0.29,0.05,1,1,PICO,,3,3,,,24.92,2080,0.04,greenattack
