fire_year,FIRE,plotname,PLOT,RdNBR,RdNBR_BL,dNBR,dNBR_BL,RBR,RBR_BL,pre_NBR,lat,slope,HeatLoad,MaxTreeHeight,QMD_LAF,QMD_all,FIRESEVNUM,CHARHT_percMax,BOLESCORCH,CHARCOV,Firemort.BA.p,Firemort.trees.p,ba_ha,stems_ha,RedGrayGreenStage.BA.p
2013,WindyPass,WP12,506,428,520,220,296,191,237,0.38318,37.4336,31,0.692147,29,18.65556729,23.84159327,2,0.29,0.977358491,0.5,1,1,59.1229485,1325,0.408
2013,WindyPass,WP13,507,661,646,451,436,317,309,0.5625,37.4372,62,0.909624,30,23.00223473,32.75960519,1,0.13,0.916129032,0.3,0.726757012,0.944444444,65.290302,775,0.178
2013,WindyPass,WP14,508,821,821,435,435,357,357,0.34118,37.4407,42,1.064117,33,29.54187283,34.34143215,1,0.33,0.502222222,0.95,0.283325903,0.277777778,104.1499305,1125,0.321
2013,WindyPass,WP15,509,290,340,130,170,128,153,0.36471,37.4493,45,0.956499,25,21.42162183,30.07662825,1,0.11,0.408571429,0.3,0.183714096,0.304347826,62.1349575,875,0.494
2012,LittleSands,LS01,510,143,48,141,84,63,21,0.35714,37.4604,23,0.811768,30,32.22233371,31.40395123,1,0.29,0.835294118,0.5,0.479322252,0.84,65.804739,850,0.232
2012,LittleSands,LS02,511,513,480,370,353,228,214,0.37736,37.4574,24,0.784949,32,36.86873197,37.34528482,1,0.3,0.984,0.5,0.955469229,0.944444444,68.4260115,625,0.538
2012,LittleSands,LS22,512,455,463,360,363,210,213,0.44882,37.4732,27,0.626726,33,26.63905391,35.82489178,1,0.57,0.865384615,0.6,0.815696718,0.888888889,65.486652,650,0.237
2012,LittleSands,LS25,513,460,599,391,503,218,286,0.53398,37.4682,25,0.466183,28,44.80505545,43.09229319,2,0.6,1,1,1,1,72.88512,500,0
2012,LittleSands,LS26,514,421,421,368,361,201,200,0.55102,37.4943,27,0.556427,30,25.59297276,26.80197473,2,0.42,0.992,1,1,1,70.4876865,1250,0.133
2013,Papoose,PA01,515,358,413,406,422,160,184,0.37931,37.7503,40,0.978157,,9.226678295,19.29396683,2,0.34,0.787837838,0.9375,1,0.894736842,27.03052275,925,0.698
2013,Papoose,PA02,516,768,754,362,380,337,330,0.35211,37.7474,40,0.792922,22,9.086884228,16.52771725,1,0.1,0.368421053,0.35,0.393442623,0.533333333,40.742625,1900,0.764
2013,Papoose,PA06,517,1053,1227,520,631,461,551,0.35294,37.751,5,0.775635,23,19.50474642,21.38357475,1,0.49,0.65,0.95,0.874671261,0.857142857,36.792063,1025,0.36
2013,Papoose,PA08,518,1283,1264,644,617,510,495,0.24786,37.7532,25,0.460547,14,9.956977517,19.96889221,2,0.51,0.869642857,0.9,1,1,43.8233565,1400,0.856
2013,Papoose,PA10,519,832,807,382,419,378,366,0.41509,37.7391,35,0.373563,31,36.02805955,33.33372654,1,0.18,0.885714286,0.95,0.16744774,0.56,76.321245,875,0.136
2013,Papoose,PA19,520,252,267,360,351,106,117,0.30337,37.7715,28,0.721269,10,8.401273789,16.43483662,1,0.34,0.537078652,0.45,0.652061856,0.6,47.1770145,2225,0.833
2013,Papoose,PA25,521,823,824,266,243,210,208,0.07692,37.7853,8,0.795545,13,9.106974042,16.08405951,2,0.46,0.9,0.8,1,1,31.796919,1150,0.42
2013,Papoose,PA31,522,1090,1173,415,426,473,512,0.33929,37.7365,9,0.730564,27,13.72022305,14.75495903,1,0.53,0.937755102,0.9,0.97127056,0.98630137,49.268142,2425,0.222
2013,Papoose,PA35,523,862,906,432,401,327,343,0.2126,37.6457,17,0.715082,,8.662460191,19.62800831,2,0.22,0.958333333,0.8,1,1,36.623202,1200,0.706
2013,Papoose,PA37,524,1018,991,592,585,448,433,0.36083,37.6431,29,0.499202,25.2,11.63911481,14.97322664,1,0.29,0.824404762,0.65,0.985545474,0.971428571,36.9589605,2100,0.395
2013,Papoose,PA39,525,1547,1403,416,331,531,487,0.15966,37.6607,26,0.981034,16,14.71305153,19.78080782,1,0.53,0.392162162,0.7,0.944537815,0.666666667,32.566611,925,0.694
2013,Papoose,PA40,526,627,644,469,449,236,241,0.20635,37.656,15,0.681065,,12.13378873,16.89843772,1,0.22,0.582692308,0.25,0.370883429,0.56,31.8813495,1275,0.513
2013,WestFork,WF01,527,813,819,541,521,374,373,0.43902,37.6064,22,1.02061,29.2,11.69452692,24.47985978,2,0.39,1,0.625,1,1,28.2253125,600,0.851
